章节,暂定章名,本章目标,钩子或转折,推进说明
1,冷灰不入药市,建立守砚堂衰败 母亲寒脉症 济安堂打压和修仙世界入口,百草门青火验出冷灰 盛砚从父亲遗物中发现灰布旧炉和此炉不可示人,第一章必须在前一千字内让读者看见百草门 灵砂 冷灰 温脉藤和家庭危机
2,试炉求药,盛砚试出旧炉能分离低阶药粉中的药性和霉败杂质,沈芸病势暂缓 罗敬安判断净粉不是盛怀山旧手艺能做出,建立净尘炉分尘规则 处理量小 指节发冷 不能凭空造药
3,贼人上门,罗敬安派胡三等人夜探守砚堂偷样货 药包 账册暗记和值钱药材,盛砚临场借药粉 熏丸 湿灰和地形反制 让贼人只剩里衣送回济安堂侧门,爽点建立在药理 环境熟悉和克制处置上 不杀人 不让反派降智
4,入山两路,百草门入山选开始 正式弟子开脉路和药童偏门路同时展示,盛砚因无法公开拿出巨额灵砂且需要身份保护母亲 选择药童竞选,建立开脉九段 正式弟子费用 药童暂不开脉 百草门压城势力
5,百草三试,一百余名少年竞选十二名药童 盛砚靠识药 核方 采药留下,第一试中 第二试上 第三试上 以丁二十七取得试录药童资格,三试要有失分追回和名额压力 不能写成顺序答题
6,冷灶择徒,十二名试录药童候药师挑选 盛砚因小铺出身 第一试中 无人情灵材不受重视,林照晚追问白节皮误封原因后收他入照晚房 内务廊透出一月后炼药师比赛消息,林照晚登场重点在专业 火候和冷灶压力 不写廉价暧昧
7,青牌压街,盛砚回城撞上济安堂旧账围门,他先验纸色 折痕 红泥印和火印年份 再借药童青牌迫使济安堂暂退,青牌能震慑凡俗但不能替凡俗欠账一笔勾销 随后立刻转入离家安置
8,入山前夜,盛砚低价变现少量净粉 安置沈芸 将旧炉伪装成裂口砚盒旧药具随身带上山,侧门查验惊险过关 丁字七号小院被借晒湿草 章小满隔墙出声,合并离家情绪 小炉随身风险 山门查验和药童小院 不单独拖住宿章
9,冷灶第一炉,盛砚入山后第一次真正看见修仙炼药 林照晚在共炉廊廊尾弱火开温络散,盛砚三尺线外识出第三匣温砂潮气重 林照晚中上成炉 朱边榜把照晚房推上炼药师比赛,先给修仙炉火和炼药新鲜感 再让比赛压力落到林照晚和照晚房
10,疑灰入山,盛砚处理丁七院湿草和退湿药损耗 从根灰中发现遇水不沉的疑灰并保住证据,叶知微青火复核写下疑灰入山 盛砚夜里用旧炉分出同类黑青细尘 林照晚给他半课搬山桩,疑灰只是丹房损耗和证据意识小案 不承担远古封印主线 但提示白石城冷灰异常在宗门内也有同类痕迹
11,旧炉棚,低阶术法课上盛砚因未开脉失败 洛含霜压过他,旧炉棚怪老头陆炉翁一眼挑出盛砚脚 息 手三处毛病,洛含霜和陆炉翁同章登场 形成同辈压力和隐秘依靠 盛砚第一次意识到自己不是笨而是堵
12,一线开脉,盛砚按陆炉翁要求背冷炉灰 旧炉棚温灰药浴 搬山桩纠偏和净息三问合力冲开一缕细脉,盛砚第一次感到灵气入身 任务壁浮出炉灰坡外围清草 父亲旧纸地点重合,一线开脉不是正式开脉 不入弟子册 不越级 但让修仙主线真正启动
13,炉灰坡,盛砚与赵横同接炉灰坡外围清草任务 赵横想用湿篓和左沟压盛砚 后因贪快锄醒灰眼,盛砚用灰叶草根 湿布和封纸临时压灰 并看见与父亲旧纸相同的三短压圆记号 后山旧封线传来低沉异响,正式进入小任务和父亲旧账线 让读者离开丹房生活区 只露旧封线危险 不提前解释旧丹窟
14,缚藤三息,盛砚回交炉灰坡任务后进入术课 用一线细脉让废藤贴桩三息但仍远弱于洛含霜,周砺贴出药山外围采藤种半评榜 照晚房朱边备药签角出现潮痕,术法收益要小而明确 不让主角突然碾压 同时把第十五章温砂异常拉出来
15,砂中藏潮,林照晚比赛备药被动手脚 盛砚凭温砂潮气和药性去路发现第一处异常,韩药师房压力从冷嘲变成暗手 叶知微要求留证,把炼药师比赛线与盛砚一个月学习成果绑定
16,冷灶试炉,林照晚为比赛预试一炉 盛砚作为药童助手第一次真正帮上忙,温络散或低阶药散成功稳定成炉 冷灶房不再只是被动挨压,兑现第九章朱边榜压力 让盛砚从旁观药童变成有用助手
17,月评扣红,章小满因借晒湿草和妹妹药钱被扣月评 赵横借机嘲弄,盛砚看懂月评和月例如何压低阶药童,友情线开始从嘴上热闹变成实际压力
18,半包补气丹,盛砚用院签 封纸和领药记录帮章小满讨回半枚补气丹,章小满第一次真正欠盛砚人情,盛砚获得外门规矩实战经验 但被内务廊提醒会查账的人也容易被查
19,陆炉翁的坏脾气,盛砚想问炉灰坡异响 陆炉翁不解释真相 只用灰线训练纠正脚 息和眼,修正盛砚把一线开脉当捷径的苗头,陆炉翁让盛砚明日去共炉廊三尺线外看校火
20,家书到山门,沈芸托人送来短笺 写守砚堂晨昏仍开 父亲旧匾未摘,亲情线补足 盛砚明确修仙不是逃离家,黑火封蜡指向外务廊 材料房和旧炉材出入账 校火钟响
21,比赛温火,炼药师比赛开始 首轮校炉温火和验材,林照晚细火手法第一次公开压住一批粗火炼药师,照晚房温火过上评候录 但第二轮仍沿用丙七炉且抽到午后末火
22,火候不认人情,第二轮试药性相承 午后末火残药气更杂 韩承岳房用二品房声势压场,盛砚记火递药封证 帮林照晚保住稳定火候,叶知微发现另一房药材标签被换过
